Name,Url,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
Alex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html,75,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,2
Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,70,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1,0.384,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,4
Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html,76,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,2.1,3.8,0.557,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,5
Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,69,19.8,2.5,4.9,0.512,0,0.1,0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1,2,6.9,5
Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,53,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,2
LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html,75,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.2,23.1,5
Jarrett Allen,https://www.basketball-reference.com/players/a/allenja01.html,72,20,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,1.6,2,0.776,2,3.4,5.4,0.7,0.4,1.2,1.1,2,8.2,5
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,69,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,4
Kyle Anderson,https://www.basketball-reference.com/players/a/anderky01.html,74,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,3
Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,66,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,4
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,4
Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html,78,32.1,6.1,15,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,4
OG Anunoby,https://www.basketball-reference.com/players/a/anunoog01.html,74,20,2.2,4.7,0.471,1,2.7,0.371,1.2,2,0.604,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,3
Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html,67,33.9,4,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7,3
D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,75,23.5,3.3,7.2,0.452,1.5,3.6,0.419,1.7,3.6,0.485,0.557,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0,1.6,1.3,10.2,1
Dwayne Bacon,https://www.basketball-reference.com/players/b/bacondw01.html,53,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,2
Lonzo Ball,https://www.basketball-reference.com/players/b/balllo01.html,52,34.2,3.9,10.8,0.36,1.7,5.7,0.305,2.2,5.2,0.42,0.44,0.6,1.4,0.451,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2,1
J.J. Barea,https://www.basketball-reference.com/players/b/bareajo01.html,69,23.2,4.4,10,0.439,1.7,4.5,0.367,2.7,5.5,0.499,0.522,1.2,1.5,0.784,0.2,2.7,2.9,6.3,0.5,0,2.1,1.2,11.6,1
Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,77,34.2,7,15.7,0.445,1.5,4.3,0.357,5.4,11.4,0.478,0.494,3.4,4.1,0.827,1,5.1,6.1,2,0.6,0.2,1.5,1.2,18.9,4
Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html,81,33.1,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5,4.1,1,0.6,1.8,2.1,15.7,2
Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html,64,31,4.2,10.2,0.415,1.4,4.3,0.336,2.8,5.9,0.473,0.486,1.7,2,0.831,0.9,3.9,4.8,5.5,1,0.4,2,1.1,11.6,2
Aron Baynes,https://www.basketball-reference.com/players/b/baynear01.html,81,18.3,2.6,5.5,0.471,0,0.3,0.143,2.6,5.2,0.487,0.474,0.7,1,0.756,1.6,3.8,5.4,1.1,0.3,0.6,1,2.5,6,5
Kent Bazemore,https://www.basketball-reference.com/players/b/bazemke01.html,65,27.5,4.4,10.4,0.42,1.7,4.2,0.394,2.7,6.2,0.438,0.5,2.5,3.1,0.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,2
Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.793,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2,22.6,2
Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html,62,9.4,1.2,2.9,0.41,0.5,1.3,0.341,0.7,1.5,0.469,0.489,0.4,0.5,0.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2,2
Michael Beasley,https://www.basketball-reference.com/players/b/beaslmi01.html,74,22.3,5.5,10.9,0.507,0.5,1.2,0.395,5.1,9.7,0.52,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2,13.2,4
Marco Belinelli,https://www.basketball-reference.com/players/b/belinma01.html,80,24.3,4.2,9.5,0.442,1.9,4.9,0.377,2.4,4.6,0.511,0.539,1.9,2,0.908,0.2,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1,2
Jordan Bell,https://www.basketball-reference.com/players/b/belljo01.html,57,14.2,2,3.2,0.627,0,0.1,0,2,3.2,0.641,0.627,0.5,0.8,0.682,1.1,2.6,3.6,1.8,0.6,1,0.9,1.6,4.6,5
Dragan Bender,https://www.basketball-reference.com/players/b/bendedr01.html,82,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2,6.5,4
Davis Bertans,https://www.basketball-reference.com/players/b/bertada01.html,77,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9,4
Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html,82,18.2,2.2,4.3,0.52,0,0,0,2.2,4.3,0.521,0.52,1.2,1.9,0.65,1.8,4,5.7,0.8,0.3,1.2,1,1.9,5.7,5
Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html,67,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8,4
Tarik Black,https://www.basketball-reference.com/players/b/blackta01.html,51,10.5,1.5,2.5,0.591,0,0.2,0.091,1.5,2.3,0.638,0.594,0.6,1.2,0.46,1.2,2,3.2,0.3,0.4,0.6,0.7,2.1,3.5,5
Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html,74,31.4,6.3,13.4,0.473,1.7,4.9,0.347,4.6,8.5,0.545,0.536,3.4,4.3,0.792,0.7,3.1,3.8,5,2,0.6,2.9,2.5,17.7,1
Bogdan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo01.html,78,27.9,4.4,9.9,0.446,1.7,4.2,0.392,2.8,5.7,0.485,0.529,1.3,1.5,0.84,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8,2
Bojan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo02.html,80,30.8,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,2.2,2.6,0.868,0.4,3,3.4,1.5,0.7,0.1,1.3,1.6,14.3,3
Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9,2
Trevor Booker,https://www.basketball-reference.com/players/b/booketr01.html,68,17,2.6,5,0.516,0.1,0.5,0.242,2.5,4.6,0.545,0.528,1,1.4,0.71,1.7,3,4.7,1.2,0.4,0.3,0.9,1.8,6.3,4
Dillon Brooks,https://www.basketball-reference.com/players/b/brookdi01.html,82,28.7,4.1,9.4,0.44,1.1,3.2,0.356,3,6.2,0.484,0.501,1.5,2,0.747,0.6,2.5,3.1,1.6,0.9,0.2,1.5,2.8,11,3
Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4,4.9,1.6,1,0.4,1.8,2.6,14.5,2
Sterling Brown,https://www.basketball-reference.com/players/b/brownst02.html,54,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4,2
Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html,62,27.9,4.3,8.8,0.489,2,4.5,0.445,2.3,4.3,0.536,0.603,0.6,0.8,0.796,0.4,2,2.5,1.5,0.8,0.2,0.8,1.1,11.3,3
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,64,16.5,2.7,6.5,0.411,0.7,2.2,0.331,1.9,4.3,0.452,0.467,1.7,1.9,0.863,0.3,2.7,3,1,0.6,0.1,0.9,1.2,7.7,2
Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,12.2,0.509,0.512,6.2,7.2,0.854,1.3,4,5.3,4.9,2,0.4,1.8,1.3,22.2,2
Jose Calderon,https://www.basketball-reference.com/players/c/caldejo01.html,57,16,1.6,3.2,0.503,0.8,1.7,0.464,0.8,1.5,0.545,0.624,0.4,0.5,0.8,0.2,1.2,1.5,2.1,0.5,0,0.7,1.4,4.5,1
Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html,74,33.2,4.6,10.8,0.426,2.1,5.6,0.383,2.4,5.2,0.473,0.526,2.1,2.6,0.789,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2,13.4,2
Clint Capela,https://www.basketball-reference.com/players/c/capelca01.html,74,27.5,6,9.1,0.652,0,0,0,6,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,5
DeMarre Carroll,https://www.basketball-reference.com/players/c/carrode01.html,73,29.9,4.5,10.8,0.414,2,5.4,0.371,2.5,5.4,0.457,0.506,2.6,3.4,0.764,1.4,5.1,6.6,2,0.8,0.4,1.4,2.3,13.5,3
Vince Carter,https://www.basketball-reference.com/players/c/cartevi01.html,58,17.7,2,4.9,0.403,1,2.8,0.345,1,2,0.483,0.504,0.5,0.6,0.757,0.3,2.2,2.6,1.2,0.7,0.4,0.6,1.7,5.4,3
Michael Carter-Williams,https://www.basketball-reference.com/players/c/cartemi01.html,52,16.1,1.5,4.4,0.332,0.3,1.1,0.237,1.2,3.3,0.365,0.362,1.4,1.7,0.82,0.7,1.9,2.7,2.2,0.8,0.4,1,1.9,4.6,1
Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html,53,14,2.3,3.9,0.58,0.2,0.4,0.455,2.1,3.5,0.595,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1,0.3,0.4,0.7,1.3,5.7,3
Willie Cauley-Stein,https://www.basketball-reference.com/players/c/caulewi01.html,73,28,5.3,10.6,0.502,0,0.2,0.25,5.3,10.4,0.506,0.504,2.1,3.4,0.619,1.8,5.2,7,2.4,1.1,0.9,1.5,2.5,12.8,5
Mario Chalmers,https://www.basketball-reference.com/players/c/chalmma01.html,66,21.5,2.5,6.7,0.379,0.8,2.9,0.277,1.7,3.8,0.456,0.439,1.8,2.1,0.855,0.2,2.2,2.4,3,1.2,0.2,1.8,2.7,7.7,1
Wilson Chandler,https://www.basketball-reference.com/players/c/chandwi01.html,74,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4,5.4,2.2,0.6,0.5,1.2,2.1,10,3
Marquese Chriss,https://www.basketball-reference.com/players/c/chrisma01.html,72,21.2,2.8,6.6,0.423,0.8,2.6,0.295,2,4,0.509,0.482,1.3,2.2,0.608,1.1,4.4,5.5,1.2,0.7,1,1.5,2.8,7.7,4
Ian Clark,https://www.basketball-reference.com/players/c/clarkia01.html,74,19.7,3,6.7,0.448,0.8,2.6,0.318,2.2,4.1,0.533,0.511,0.6,0.8,0.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,2
Jordan Clarkson,https://www.basketball-reference.com/players/c/clarkjo01.html,81,23.3,5.3,11.8,0.451,1.4,3.9,0.352,3.9,7.9,0.5,0.509,1.9,2.3,0.8,0.7,2,2.7,2.7,0.7,0.1,1.6,1.3,13.9,2
John Collins,https://www.basketball-reference.com/players/c/collijo01.html,74,24.1,4.2,7.4,0.576,0.2,0.6,0.34,4,6.7,0.598,0.591,1.8,2.5,0.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5,4
Zach Collins,https://www.basketball-reference.com/players/c/colliza01.html,66,15.8,1.7,4.4,0.398,0.5,1.7,0.31,1.2,2.7,0.455,0.458,0.4,0.6,0.643,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2,4.4,5
Darren Collison,https://www.basketball-reference.com/players/c/collida01.html,69,29.2,4.6,9.2,0.495,1.4,3,0.468,3.2,6.3,0.508,0.571,1.8,2.1,0.882,0.5,2,2.6,5.3,1.3,0.2,1.2,1.8,12.4,1
Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html,82,18.1,2,4.8,0.423,0.9,2.6,0.352,1.1,2.2,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4,2
Robert Covington,https://www.basketball-reference.com/players/c/covinro01.html,80,31.7,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.497,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2,1.7,0.9,1.6,3,12.6,3
Allen Crabbe,https://www.basketball-reference.com/players/c/crabbal01.html,75,29.3,4.5,11,0.407,2.7,7.1,0.378,1.8,3.9,0.461,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2,2
Jamal Crawford,https://www.basketball-reference.com/players/c/crawfja01.html,80,20.7,3.9,9.3,0.415,1.3,3.9,0.331,2.6,5.4,0.477,0.485,1.3,1.4,0.903,0.3,1,1.2,2.3,0.5,0.1,1.2,1.1,10.3,2
Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html,80,26.1,3.4,8.4,0.404,1.4,4.3,0.323,2,4.1,0.488,0.486,1.5,1.9,0.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7,3
Dante Cunningham,https://www.basketball-reference.com/players/c/cunnida01.html,73,21.4,2.2,5,0.451,0.8,2.3,0.345,1.5,2.7,0.541,0.53,0.4,0.7,0.596,1.1,3,4.1,0.7,0.5,0.4,0.5,1.5,5.7,3
Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html,51,32,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4,1
Troy Daniels,https://www.basketball-reference.com/players/d/danietr01.html,79,20.5,2.9,7.3,0.403,2.3,5.8,0.4,0.6,1.5,0.419,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,2
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,4
Ed Davis,https://www.basketball-reference.com/players/d/davised01.html,78,18.9,2.2,3.7,0.582,0,0,0,2.2,3.7,0.584,0.582,0.9,1.4,0.667,2.3,5,7.4,0.5,0.4,0.7,0.8,2.4,5.3,5
Dewayne Dedmon,https://www.basketball-reference.com/players/d/dedmode01.html,62,24.9,4,7.7,0.524,0.8,2.3,0.355,3.2,5.4,0.595,0.577,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10,5
Sam Dekker,https://www.basketball-reference.com/players/d/dekkesa01.html,73,12.1,1.8,3.5,0.494,0.1,0.8,0.167,1.6,2.7,0.593,0.514,0.5,0.8,0.661,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1,4.2,4
Malcolm Delaney,https://www.basketball-reference.com/players/d/delanma01.html,54,18.8,2,5.3,0.382,0.9,2.3,0.371,1.2,3,0.391,0.463,1.4,1.7,0.804,0.2,1.7,1.9,3,0.6,0.1,1.2,1.5,6.3,1
DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html,80,33.9,8.1,17.7,0.456,1.1,3.6,0.312,7,14.1,0.493,0.488,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23,2
Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html,79,16.9,2.4,4.9,0.479,0.2,0.8,0.311,2.1,4.1,0.511,0.504,1,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,5.9,5
Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html,80,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6,1
Tyler Dorsey,https://www.basketball-reference.com/players/d/dorsety01.html,56,17.4,2.6,6.8,0.377,1.3,3.6,0.362,1.3,3.3,0.393,0.471,0.8,1.1,0.714,0.3,2,2.3,1.4,0.3,0.1,0.7,1.1,7.2,2
Goran Dragic,https://www.basketball-reference.com/players/d/dragigo01.html,75,31.7,6.5,14.3,0.45,1.5,4,0.37,5,10.3,0.481,0.502,2.9,3.6,0.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3,1
Jared Dudley,https://www.basketball-reference.com/players/d/drumman01.html,78,33.7,6,11.3,0.529,0,0.1,0,6,11.2,0.536,0.529,3.1,5.1,0.605,5.1,10.9,16,3,1.5,1.6,2.6,3.2,15,5
Kevin Durant,https://www.basketball-reference.com/players/d/dunnkr01.html,52,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.73,0.5,3.8,4.3,6,2,0.5,2.9,3.4,13.4,1
Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html,77,26.5,3.7,9.1,0.407,2.9,7.5,0.392,0.8,1.6,0.479,0.569,0.9,1,0.859,0.3,2.5,2.8,1,0.7,0.1,0.7,1.2,11.2,2
Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9,5
James Ennis,https://www.basketball-reference.com/players/e/ennisja01.html,72,22.3,2.5,5.3,0.474,0.7,2.1,0.333,1.8,3.2,0.567,0.54,1.3,1.6,0.836,1,2.1,3.1,1,0.7,0.3,0.8,1.9,7.1,3
Tyler Ennis,https://www.basketball-reference.com/players/e/ennisty01.html,54,12.6,1.7,4.1,0.42,0.3,1,0.25,1.5,3.1,0.476,0.451,0.4,0.5,0.759,0.4,1.4,1.8,1.9,0.6,0.2,0.7,1.4,4.1,1
Tyreke Evans,https://www.basketball-reference.com/players/e/evansty01.html,52,30.9,7,15.6,0.452,2.2,5.5,0.399,4.8,10.1,0.482,0.523,3.2,4,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4,1
Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html,77,28,5.1,9.1,0.563,0.2,0.8,0.222,4.9,8.3,0.596,0.573,1.8,2.8,0.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3,5
Cristiano Felicio,https://www.basketball-reference.com/players/f/feliccr01.html,55,17.8,2.3,3.9,0.591,0,0,0,2.3,3.9,0.596,0.591,1,1.5,0.667,1.5,2.7,4.2,1,0.3,0.2,1,1.9,5.6,5
Raymond Felton,https://www.basketball-reference.com/players/f/feltora01.html,82,16.6,2.7,6.7,0.406,1,2.8,0.352,1.7,3.9,0.444,0.479,0.4,0.5,0.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9,1
Terrance Ferguson,https://www.basketball-reference.com/players/f/fergute01.html,61,12.5,1.1,2.8,0.414,0.7,2,0.333,0.5,0.8,0.612,0.533,0.1,0.2,0.9,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1,2
Yogi Ferrell,https://www.basketball-reference.com/players/f/ferreyo01.html,82,27.8,3.8,8.9,0.426,1.6,4.4,0.373,2.2,4.5,0.477,0.518,1,1.3,0.796,0.3,2.7,3,2.5,0.8,0.1,1,1.9,10.2,2
Bryn Forbes,https://www.basketball-reference.com/players/f/forbebr01.html,80,19,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9,2
Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html,57,32.2,6.5,14.1,0.459,2.2,5.9,0.379,4.2,8.2,0.516,0.538,2.6,3,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8,3
De'Aaron Fox,https://www.basketball-reference.com/players/f/foxde01.html,73,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1,0.3,2.4,2.2,11.6,1
Tim Frazier,https://www.basketball-reference.com/players/f/fraziti01.html,59,14.2,1.2,2.9,0.395,0.3,0.9,0.304,0.9,2,0.44,0.445,0.4,0.5,0.767,0.3,1.6,1.9,3.3,0.8,0.1,1,1.6,3,1
Channing Frye,https://www.basketball-reference.com/players/f/fryech01.html,53,13.1,2,4,0.491,0.7,2.2,0.339,1.2,1.8,0.67,0.583,0.3,0.4,0.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,1.3,5,5
Langston Galloway,https://www.basketball-reference.com/players/g/gallola01.html,58,14.9,2.2,5.9,0.371,1.3,3.8,0.344,0.9,2.1,0.418,0.481,0.6,0.7,0.805,0.2,1.4,1.6,1,0.6,0.1,0.3,0.7,6.2,2
Marc Gasol,https://www.basketball-reference.com/players/g/gasolma01.html,73,33,5.9,14.2,0.42,1.5,4.4,0.341,4.5,9.8,0.456,0.473,3.8,4.6,0.834,1.1,7,8.1,4.2,0.7,1.4,2.7,2.5,17.2,5
